month_2026,item,category,unit,month_total_2025,weeks_delivered,farm_weeks,weekly_avg,bring_weekly,frequency,month_revenue
August,Tomatoes,Fruit & Veg,lbs,290,4,4,72.5,73,weekly staple,1395
August,Basil,Herbs & Leaves,LG,67,4,4,16.8,17,weekly staple,1356
August,Nasturtium,Herbs & Leaves,each,3670,4,4,917.5,918,weekly staple,1285
August,Cucumber Leaf (1 in),Herbs & Leaves,LG,66,3,4,16.5,17,weekly staple,990
August,Squash,Herbs & Leaves,box,13,3,4,3.2,4,weekly staple,624
August,Squash,Herbs & Leaves,LG,26,3,4,6.5,7,weekly staple,590
August,Anise Hyssop,Micros & Leaves,LG,35,4,4,8.8,9,weekly staple,525
August,Marigold,Flowers,SM,42,4,4,10.5,11,weekly staple,509
August,Passionfruit,Fruit & Veg,lbs,115,3,4,28.8,29,weekly staple,460
August,Basil,Herbs & Leaves,SM,33,3,4,8.2,9,weekly staple,396
August,Mint,Herbs & Leaves,LG,25,3,4,6.2,7,weekly staple,305
August,Egyptian Starflower,Flowers,SM,23,4,4,5.8,6,weekly staple,276
August,Zinnias,Flowers,LG,17,3,4,4.2,5,weekly staple,255
August,Beans,Fruit & Veg,SM,17,3,4,4.2,5,weekly staple,255
August,Eggplant,Fruit & Veg,each,66,3,4,16.5,17,weekly staple,198
August,Amaranth,Micros & Leaves,LG,12,3,4,3.0,3,weekly staple,180
August,Fennel,Micros & Leaves,LG,13,4,4,3.2,4,weekly staple,165
August,Society Garlic,Flowers,LG,8,4,4,2.0,2,weekly staple,160
August,Forget-Me-Nots,Flowers,SM,12,4,4,3.0,3,weekly staple,144
August,New Zealand Spinach,Fruit & Veg,LG,7,3,4,1.8,2,weekly staple,105
August,Marigold,Flowers,LG,8,3,4,2.0,2,weekly staple,96
August,Shiso,Herbs & Leaves,LG,4,3,4,1.0,1,weekly staple,60
August,Carrots,Fruit & Veg,LG,5,3,4,1.2,2,weekly staple,50
