Allium Flower	LG	15.00
Alyssum	SM	6.00
Amaranth, Large, Flowers	LG	15.00
Amaranth, Micro	SM	15.00
Anise Hyssop	LG	15.00
Anise Hyssop, Flowers	LG	15.00
Apple, Green	EA	1.40
Apple, Red	EA	1.40
Aptenia	LG	15.00
Arugula, Wasabi	LG	12.00
Baby Carrot	LG	25.00
Baby Carrot, Round	LG	25.00
Baby Hakurei Turnip	LG	25.00
Baby Radish, French Breakfast	LG	25.00
Baby Radish, Red Round	LG	25.00
Bachelor Buttons	LG	30.00
Basil, Buds, Mix	LG	12.00
Basil, Large, Green	LG	24.00
Basil, Large, Purple	LG	24.00
Basil, Micro, Green	SM	12.00
Basil, Micro, Purple	SM	12.00
Bay Leaf	LG	20.00
Bean, Flower	SM	15.00
Bean, Haricot Vert (Purple, Green, Yellow)	SM	8.00
Bean, Leaf	LG	12.00
Bean, Romano (Yellow)	LG	30.00
Beans, Tiny	SM	15.00
Bergamot	EA	1.68
Black Eyed Susans	LG	15.00
Blackberries	LG	24.00
Blackberries, Unripe	LG	30.00
Borage	SM	15.00
Brassica, Flowers	LG	15.00
Brassica, Leaf	LG	20.00
Broccoli, Flower	LG	15.00
Broccoli, Rabe	LG	20.00
Broccoli, Sprouting	LG	20.00
Buckwheat	SM	10.00
Cabbage, Chineese	LG	15.00
Calendula	LG	20.00
California Bay Leaves	LG	15.00
Calimansi	LBS	4.95
Cardoon	EA	3.00
Carrot, Flower	LG	10.00
Carrot, Oxheart	EA	3.00
Carrot, Tops	LG	12.00
Cauliflower, Sprouting	LG	20.00
Celery, Micro	SM	15.00
Chamomile	LG	36.00
Chervil	LG	12.00
Chickweed	LG	12.00
Chrysanthemum, Flower	LG	12.00
Chrysanthemum, Leaf	LG	18.00
Cilantro, Flowers	LG	24.00
Cilantro, Leaf, Med/Large	LG	24.00
Cilantro, Micro	SM	6.00
Cippolini (50 ct)	LG	15.00
Citrus, Misc	CS	40.00
Columbine Flowers	EA	0.50
Coreopsis	LG	12.00
Coriander (green seeds)	LG	15.00
Coriander, Green	LG	25.00
Cosmos	LG	12.00
Creeping Vine	LG	15.00
Cress, Wild	LG	15.00
